Car_Name,Year,Selling_Price,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner,Car_Age,Age_Group,Depreciation,Depreciation_Rate,km_Per_year,Transmission_Numeric,Is_First_Owner,Is_Diesel,Is_Automatic,Is_Dealer,Owner_Group,KM_Category
Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,0,9,Mid-Age,0.11999999999999988,10.256410256410248,666.6666666666666,1,1,0,0,0,First,Low
Royal Enfield Classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,0,12,Mid-Age,0.47,31.972789115646254,3875.0,1,1,0,0,0,First,Low
Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,0,13,Mid-Age,0.8,45.714285714285715,884.6153846153846,1,1,0,0,0,First,Low
Royal Enfield Classic 500,2009,0.9,1.75,40000,Petrol,Individual,Manual,0,16,Old,0.85,48.57142857142857,2500.0,1,1,0,0,0,First,Low
Bajaj Avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual,0,8,Mid-Age,0.04999999999999993,5.263157894736835,162.5,1,1,0,0,0,First,Low
Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,0,9,Mid-Age,0.050000000000000044,6.250000000000005,777.7777777777778,1,1,0,0,0,First,Low
Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,0,8,Mid-Age,0.06999999999999995,8.045977011494248,375.0,1,1,0,0,0,First,Low
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,0,8,Mid-Age,0.05999999999999994,7.142857142857137,625.0,1,1,0,0,0,First,Low
Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,0,8,Mid-Age,0.12,13.793103448275861,1375.0,1,1,0,0,0,First,Low
Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,0,10,Mid-Age,0.06999999999999995,8.536585365853654,1800.0,1,1,0,0,0,First,Low
Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0,8,Mid-Age,0.19999999999999996,21.052631578947363,437.5,1,1,0,0,0,First,Low
Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,0,9,Mid-Age,0.22999999999999998,24.210526315789473,55.55555555555556,1,1,0,0,0,First,Low
TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0,8,Mid-Age,0.16000000000000003,19.75308641975309,1475.0,1,1,0,0,0,First,Low
Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,0,10,Mid-Age,0.08999999999999997,12.162162162162158,500.0,1,1,0,0,0,First,Low
Honda CBR 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,0,11,Mid-Age,0.5499999999999999,45.83333333333333,2136.3636363636365,1,1,0,0,0,First,Low
Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,0,12,Mid-Age,0.137,17.407878017789074,1333.3333333333333,1,1,0,0,0,First,Low
Honda CB Hornet 160R,2016,0.6,0.87,15000,Petrol,Individual,Manual,0,9,Mid-Age,0.27,31.03448275862069,1666.6666666666667,1,1,0,0,0,First,Low
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual,0,10,Mid-Age,0.35,36.84210526315789,1660.0,1,1,0,0,0,First,Low
Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,0,12,Mid-Age,0.6,50.0,2666.6666666666665,1,1,0,0,0,First,Low
Bajaj Avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,0,9,Mid-Age,0.20000000000000007,25.000000000000007,2222.222222222222,1,1,0,0,0,First,Low
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,0,10,Mid-Age,0.24,28.57142857142857,2900.0,1,1,0,0,0,First,Low
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,Petrol,Individual,Manual,0,9,Mid-Age,0.24,28.57142857142857,2777.777777777778,1,1,0,0,0,First,Low
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,0,11,Mid-Age,0.39,39.3939393939394,2272.7272727272725,1,1,0,0,0,First,Low
TVS Apache RTR 160,2012,0.6,0.81,19000,Petrol,Individual,Manual,0,13,Mid-Age,0.21000000000000008,25.925925925925934,1461.5384615384614,1,1,0,0,0,First,Low
Hero Extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual,0,11,Mid-Age,0.237,30.114358322744593,1363.6363636363637,1,1,0,0,0,First,Low
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,Petrol,Individual,Manual,0,10,Mid-Age,0.2899999999999999,34.52380952380952,5800.0,1,1,0,0,0,First,Medium
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,Petrol,Individual,Manual,0,15,Mid-Age,0.41999999999999993,44.68085106382978,3000.0,1,1,0,0,0,First,Low
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Petrol,Individual,Manual,0,9,Mid-Age,0.42999999999999994,45.744680851063826,2666.6666666666665,1,1,0,0,0,First,Low
TVS Apache RTR 180,2011,0.5,0.826,6000,Petrol,Individual,Manual,0,14,Mid-Age,0.32599999999999996,39.46731234866828,428.57142857142856,1,1,0,0,0,First,Low
Hero Passion X pro,2016,0.5,0.55,31000,Petrol,Individual,Manual,0,9,Mid-Age,0.050000000000000044,9.090909090909099,3444.4444444444443,1,1,0,0,0,First,Low
Bajaj Pulsar NS 200,2012,0.5,0.99,13000,Petrol,Individual,Manual,0,13,Mid-Age,0.49,49.494949494949495,1000.0,1,1,0,0,0,First,Low
Bajaj Pulsar NS 200,2013,0.5,0.99,45000,Petrol,Individual,Manual,0,12,Mid-Age,0.49,49.494949494949495,3750.0,1,1,0,0,0,First,Low
Yamaha Fazer ,2014,0.5,0.88,8000,Petrol,Individual,Manual,0,11,Mid-Age,0.38,43.18181818181818,727.2727272727273,1,1,0,0,0,First,Low
Honda Activa 4G,2017,0.48,0.51,4300,Petrol,Individual,Automatic,0,8,Mid-Age,0.030000000000000027,5.8823529411764754,537.5,0,1,0,1,0,First,Low
TVS Sport ,2017,0.48,0.52,15000,Petrol,Individual,Manual,0,8,Mid-Age,0.040000000000000036,7.692307692307699,1875.0,1,1,0,0,0,First,Low
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,Petrol,Individual,Manual,0,10,Mid-Age,0.36,42.857142857142854,2300.0,1,1,0,0,0,First,Low
Honda Dream Yuga ,2017,0.48,0.54,8600,Petrol,Individual,Manual,0,8,Mid-Age,0.06000000000000005,11.11111111111112,1075.0,1,1,0,0,0,First,Low
Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Individual,Automatic,0,8,Mid-Age,0.06,11.76470588235294,500.0,0,1,0,1,0,First,Low
Bajaj Avenger Street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,0,14,Mid-Age,0.49999999999999994,52.63157894736842,1714.2857142857142,1,1,0,0,0,First,Low
TVS Apache RTR 180,2014,0.45,0.826,23000,Petrol,Individual,Manual,0,11,Mid-Age,0.37599999999999995,45.52058111380145,2090.909090909091,1,1,0,0,0,First,Low
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,Petrol,Individual,Manual,0,13,Mid-Age,0.54,54.545454545454554,1115.3846153846155,1,1,0,0,0,First,Low
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,0,15,Mid-Age,0.49999999999999994,52.63157894736842,1800.0,1,1,0,0,0,First,Low
Hero Splender iSmart,2016,0.45,0.54,14000,Petrol,Individual,Manual,0,9,Mid-Age,0.09000000000000002,16.66666666666667,1555.5555555555557,1,1,0,0,0,First,Low
Activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,0,9,Mid-Age,0.09000000000000002,16.66666666666667,55.55555555555556,0,1,0,1,0,First,Low
Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,0,9,Mid-Age,0.10000000000000003,18.181818181818183,111.11111111111111,1,1,0,0,0,First,Low
